page	task	sample	Number of organisations	Number of attachments	Largest attachment	Total size	Number of updates	Number of downloads
application-for-grant-of-a-supplementary-protection-certificate		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-home-office-travel-document-form-td112-brp		not	0.01	0.0	0.00000000	0.00000000	0.08	0.00000000
application-for-identification-numbers-for-new-build-trailers-tes-2		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-legalisation-in-france		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-non-eu-bus-service		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-proof-that-you-do-not-have-british-citizenship-form-nq		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-purple-certificate-for-croatian-form-cr3		not	0.01	0.0	0.00000000	0.00000000	0.06	0.00000000
application-for-refund-for-a-life-in-the-uk-test		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-refunding-out-of-pocket-expenses		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-for-residence-card-non-eea-family-of-croatian-form-cr4		not	0.01	0.0	0.00000000	0.00000000	0.07	0.00000000
application-for-review-when-british-citizenship-is-refused-form-nr		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-for-section-4-bail-address-and-support		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-for-section-4-extra-services-or-facilities		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-super-premium-service-extend-visa-or-settle-in-uk		not	0.01	0.0	0.00000000	0.00000000	0.05	0.00000000
application-for-survey-of-large-yacht-msf-5100		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-survey-of-ships-and-fishing-vessels-msf-5100		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-for-the-dvsa-special-tests-for-instructors		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-the-use-of-covert-human-intelligence-sources-chis		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-third-party-deductions-universal-credit		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-tier-1-exceptional-talent-visa-appendix-et-form-vaf9		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-for-transfer-of-residence-tor-relief-tor01		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-for-uk-visa-access-rights-to-child-appendix-5-form-vaf4a		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-uk-visa-as-member-of-hm-armed-forces-vaf-af		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-uk-visa-as-tier-1-entrepreneur		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-for-uk-visa-as-tier-1-investor-form-vaf9-appendix-2		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
application-for-uk-visa-as-tier-2-worker-form-vaf9-appendix-5		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
application-for-uk-visa-by-diplomats-dependant-form-vafdip1-dep		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-uk-visa-by-the-dependant-of-a-student-form-vaf3b		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-uk-visa-family-joining-refugee-form-appendix-4-vaf4a		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-uk-visa-for-family-settlement-form-vaf4a		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-for-uk-visa-for-pbs-dependant-form-vaf10		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-uk-visa-in-burma-extra-information-required		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-uk-visa-to-visit-or-for-short-term-stay-form-vaf1a		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-uk-visa-under-tier-1-graduate-entrepreneur		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-for-uk-visa-under-tier-4-child-form-vaf9-appendix-9		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-for-uk-visa-under-tier-4-general-form-vaf9-appendix-8		not	0.01	0.0	0.00000000	0.00000000	0.05	0.00000000
application-for-uk-visa-under-tier-5-youth-mobility-scheme		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-for-use-of-directed-surveillance		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-vehicle-tax-v10		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-for-visa-diplomats-domestic-worker-terms-and-conditions		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-visa-family-settlement-or-reunion-form-appendix-1-vaf4a		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-for-visa-to-come-to-uk-as-tier-5-temporary-worker		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-form		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-form--2		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-and-guidance-for-open-competition-to-deliver-fundraising-training-for-small-local-charities		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-form-chevening-scholarships--3		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-chevening-scholarships-british-embassy-reykjavik		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-a-category-3-precursor-chemical-licence		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-a-drinking-banning-order		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-a-licence-to-trade-in-category-1-substances-part-1		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-a-traditional-herbal-registration-thr		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-an-interim-drinking-banning-order		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-certificate-of-custom-law-for-pacs-france		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
application-form-for-certificate-of-keeper-of-a-trailer		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-form-for-certificate-of-keeper-of-motor-vehicle		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-consent-to-construct-works-on-common-land		not	0.01	0.0	0.00000000	0.00000000	0.06	0.00000000
application-form-for-consent-to-use-a-metropolitan-common-for-street-improvements		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-form-for-issue-of-pre-consent		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-form-for-overseas-territories-programme-fund-2013-14		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-pacs		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-the-technology-competition-in-spain		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-uk-visa-to-work-study-and-for-dependants-and-right-of-abode-form-vaf2		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-for-vehicles-going-to-italy		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-male-victims-of-domestic-and-or-sexual-violence-fund		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-form-to-correct-details-on-a---death-registration		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-form-to-correct-details-on-a-marriage-registration		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-form-to-deregister-common-land-or-village-greens		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-form-to-remove-the-incorrect-fathers-details-from-a-birth-registration		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-forms-for-compensation-for-victims-of-terrorism		not	0.02	0.0	0.00000000	0.00000000	0.02	0.00000000
application-or-access-to-birth-records		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-or-access-to-birth-records-outside-england-and-wales		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-add-a-transport-manager-to-a-licence-tm1		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-add-extra-classes		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-amend-authorisation-to-import-and-market-in-the-eu-organic-products-from-third-countries		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-amend-the-regulations-governing-the-use-of-marks		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-authorise-a-fish-or-shellfish-farm-form-aw1		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-become-a-member-of-paw		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-become-authorised-to-import-live-fish-and-shellfish-form-aah2		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
application-to-cancel-a-security-interest		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-change-a-vehicle-tax-v70		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-change-or-cancel-details-of-a-lsr-psv355		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-change-ships-name-or-port-of-choice-msf-4741		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-change-vehicles-gv80		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-come-to-the-uk-on-diplomatic-posting-form-vafdip1		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-deposit-lobsters-form-fis9		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-extend-a-supplementary-protection-certificate		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-extend-stay-in-the-uk-appendix-1-flrfp-flro		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
application-to-extend-stay-in-the-uk-as-a-partner-form-flrm		not	0.01	0.0	0.00000000	0.00000000	0.14	0.00000000
application-to-extend-stay-in-the-uk-flrhro		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-extend-stay-in-the-uk-flrir		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-extend-stay-in-the-uk-form-flrfp		not	0.01	0.0	0.00000000	0.00000000	0.16	0.00000000
application-to-extend-stay-in-uk-as-child-of-a-refugee		not	0.01	0.0	0.00000000	0.00000000	0.08	0.00000000
application-to-extend-stay-in-uk-as-stateless-person-form-flrs		not	0.01	0.0	0.00000000	0.00000000	0.05	0.00000000
application-to-extend-stay-in-uk-form-ecaa-1-turkish-working-person		not	0.01	0.0	0.00000000	0.00000000	0.1	0.00000000
application-to-extend-stay-in-uk-form-ecaa2-turkish-businessperson		not	0.01	0.0	0.00000000	0.00000000	0.1	0.00000000
application-to-extend-stay-in-uk-form-tier-5-temporary-worker		not	0.01	0.0	0.00000000	0.00000000	0.1	0.00000000
application-to-extend-stay-in-uk-hm-forces-form-flraf		not	0.01	0.0	0.00000000	0.00000000	0.1	0.00000000
application-to-extend-stay-in-uk-long-residence-form-flrlr		not	0.01	0.0	0.00000000	0.00000000	0.14	0.00000000
application-to-extend-stay-in-uk-tier-1-graduate-entrepreneur		not	0.01	0.0	0.00000000	0.00000000	0.1	0.00000000
application-to-extend-stay-or-settle-in-the-uk-form-dl		not	0.01	0.0	0.00000000	0.00000000	0.1	0.00000000
application-to-extend-uk-visa-as-family-of-turkish-person-form-ecaa3		not	0.01	0.0	0.00000000	0.00000000	0.09	0.00000000
application-to-give-up-renounce-british-citizenship-form-rn		not	0.01	0.0	0.00000000	0.00000000	0.05	0.00000000
application-to-intervene-in-proceedings		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-join-civil-penalty-accreditation-scheme		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-join-the-fleet-driver-trainer-register		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-naturalise-as-a-british-citizen-form-an		not	0.01	0.0	0.00000000	0.00000000	0.22	0.00000000
application-to-re-register-a-childs-birth-and-add-the-natural-fathers-details		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-re-register-a-childs-birth-following-marriage-of-natural-parents		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-reconsider-a-decision-for-a-certificate-of-entitlement-to-the-right-of-abode		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-record-a-change-of-ownership		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-record-a-concurrent-registration		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-record-a-licensee		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-record-or-amend-a-security-interest		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-record-partial-assignment-of-goods-andor-services		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-rectify-the-register		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-register-a-british-ship-msf-4740		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-register-a-british-ship-over-500gt-msf-4740a		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-register-a-bus-service-psv350		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-register-a-design-which-registration-was-deferred		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-register-a-fishery-or-cropping-water-form-rw1-and-rw2		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-register-a-trade-mark		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-register-a-vehicle-under-its-original-registration-number		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-register-an-international-trade-mark		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
application-to-register-as-a-british-citizen-form-bos		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
application-to-register-as-a-british-citizen-form-bota		not	0.01	0.0	0.00000000	0.00000000	0.05	0.00000000
application-to-register-as-a-british-citizen-form-s1		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-register-as-a-british-citizen-form-s2		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-register-as-a-british-citizen-form-ukf		not	0.01	0.0	0.00000000	0.00000000	0.05	0.00000000
application-to-register-as-a-british-citizen-form-ukm		not	0.01	0.0	0.00000000	0.00000000	0.05	0.00000000
application-to-register-as-british-citizen-form-em		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-register-as-british-citizen-form-rs1		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-register-as-british-citizen-form-t		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
application-to-register-as-british-overseas-territories-citizen		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-register-child-as-british-overseas-territories-citizen		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-register-child-under-18-as-british-overseas-citizen		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-register-child-under-18-as-british-subject		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-register-designs-divided-from-an-earlier-application		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-register-one-or-more-designs		not	0.01	0.0	0.00000000	0.00000000	0.04	0.00000000
application-to-register-or-give-notice-of-rights		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-remove-british-ship-from-uk-register-msf-4744		not	0.01	0.0	0.00000000	0.00000000	0.03	0.00000000
application-to-remove-or-amend-the-recordal-of-a-licence		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-renew-fleet-driver-trainer-registration		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-repay-a-bioenergy-capital-grants-scheme-grant		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-restore-a-patent		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-revoke-a-trade-mark-for-reasons-of-non-use		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-revoke-a-trade-mark-for-reasons-other-than-non-use		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-set-aside-cancellation-of-application-revocation-invalidation-or-registration		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-settle-in-the-uk-as-a-child-under-18-form-setf		not	0.01	0.0	0.00000000	0.00000000	0.12	0.00000000
application-to-settle-in-the-uk-form-setm		not	0.01	0.0	0.00000000	0.00000000	0.15	0.00000000
application-to-settle-in-the-uk-form-seto		not	0.01	0.0	0.00000000	0.00000000	0.17	0.00000000
application-to-settle-in-uk-as-former-member-of-hm-forces-setaf		not	0.01	0.0	0.00000000	0.00000000	0.1	0.00000000
application-to-settle-in-uk-form-setbus		not	0.01	0.0	0.00000000	0.00000000	0.09	0.00000000
application-to-settle-in-uk-form-setdv		not	0.01	0.0	0.00000000	0.00000000	0.12	0.00000000
application-to-settle-in-uk-form-setlr		not	0.01	0.0	0.00000000	0.00000000	0.16	0.00000000
application-to-start-invalidation-proceedings		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-surrender-a-goods-or-psv-operators-licence-sur1		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
application-to-tax-a-heavy-goods-vehicle-hgv		not	0.01	0.0	0.00000000	0.00000000	0.08	0.00000000
application-to-transfer-indefinite-leave-to-remain-in-uk-form-ntl		not	0.01	0.0	0.00000000	0.00000000	0.13	0.00000000
application-to-transfer-or-retain-a-vehicle-registration-number		not	0.01	0.0	0.00000000	0.00000000	0.11	0.00000000
application-to-transfer-uk-visa-to-new-passport		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
application-to-transfer-visa-to-biometric-residence-permit-form-toc		not	0.01	0.0	0.00000000	0.00000000	0.12	0.00000000
application-to-transform-a-madrid-protocol-designation		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
